Course Code,Term,Course Name,Math,NS,CS,ES,ED
ESS261H1,S,Earth System Evolution (formerly GLG217H1),0,42,0,0,0
FOR200H1,F,Conservation of Canadas Forests,0,0,30,0,0
FOR201H1,S,Conservation of Tropical and Subtropical Forests,0,0,30,0,0
FOR300H1,S,Forest Products in Sustainable Forestry,0,36,0,0,0
FOR305H1,F,Biology of Trees and Forests,0,44,0,0,0
FOR310H1,S,Bioenergy from Sustainable Forest Management,0,7.5,7.5,15,0
FOR410H1,S,Bioenergy and Biorefinery Technology,0,0,0,36,0
FOR419H1,S,Forest Fire Behaviour and Management,0,9,27,0,0
FOR425H1,S,Bioenergy and Biorefinery Technology,0,0,9.6,28.8,0
FS1TRFH1,F,Free elective transfer - Science,0,30,0,0,0
GGR100H1,S,Introduction to Physical Geography,0,26,0,0,0
GGR101H1,F,Ancient Civilizations and their Environments,0,24,0,0,0
GGR201H1,S,Geomorphology,0,28,0,0,0
GGR203H1,S,Introduction to Climatology,0,36,0,0,0
GGR205H1,F,Introduction to Soil Science,0,28,0,0,0
GGR206H1,F,Introduction to Hydrology,0,32,0,0,0
GGR272H1,F,Geographic Information and Mapping I,0,0,30,0,0
GGR303H1,F,Climate-Bioshpere Interactions,0,24,0,0,0
GGR304H1,F,Biogeography,0,24,0,0,0
GGR308H1,S,Physical Aspects of the Canadian Arctic and Subarctic,0,24,0,0,0
GGR337H1,S,Environmental Remote Sensing,0,36,0,0,0
GGR347H1,F,Efficient Use of Energy (formerly JGE347H1),0,0,0,20.3,6.8
GGR348H1,S,Carbon-Free Energy (formerly JGE348H1),0,0,0,20.3,6.8
HIS205H1,F,Topics in Women's History,0,0,30,0,0
HMB200H1,S,Introduction to Neuroscience,0,30,0,0,0
IMM250H1,S,The Immune System and Infectious Disease,0,24,0,0,0
IMM250H1,F,The Immune System and Infectious Disease,0,24,0,0,0
JEG100H1,S,Introduction to Physical Geography and Earth Science,0,30,0,0,0
JGE236H1,F,Human Interactions with the Environment (formerly),0,26,0,0,0
JPE395H1,S,Physics of the Earth (Formerly PHY395H1),0,24,0,0,0
JSC301H1,S,Principles and Practices in Science Education,0,0,30,0,0
LIN232H1,F,Syntactic Patterns in Language,0,0,30,0,0
MAT301H1,F,Groups and Symmetries,36,0,0,0,0
MAT301H1,S,Groups and Symmetries,36,0,0,0,0
MAT327H1,F,Introduction to Topology,36,0,0,0,0
MAT332H1,F,Introduction to Graph Theory [36L],36,0,0,0,0
MAT336H1,S,Elements of Analysis,42,0,0,0,0
MAT337H1,S,Introduction to Real Analysis,36,0,0,0,0
MAT363H1,S,Introduction to Differential Geometry,36,0,0,0,0
